velocidad_bala,distancia,salto
-6.0,62.0,1
-6.0,68.0,0
-8.0,962.0,0
-8.0,954.0,0
-8.0,946.0,0
-8.0,938.0,0
-8.0,930.0,0
-8.0,922.0,0
-8.0,914.0,0
-8.0,906.0,0
-8.0,898.0,0
-8.0,890.0,0
-8.0,882.0,0
-8.0,874.0,0
-8.0,866.0,0
-8.0,858.0,0
-8.0,850.0,0
-8.0,842.0,0
-8.0,834.0,0
-8.0,826.0,0
-8.0,818.0,0
-8.0,810.0,0
-8.0,802.0,0
-8.0,794.0,0
-8.0,786.0,0
-8.0,778.0,0
-8.0,770.0,0
-8.0,762.0,0
-8.0,754.0,0
-8.0,746.0,0
-8.0,738.0,0
-8.0,730.0,0
-8.0,722.0,0
-8.0,714.0,0
-8.0,706.0,0
-8.0,698.0,0
-8.0,690.0,0
-8.0,682.0,0
-8.0,674.0,0
-8.0,666.0,0
-8.0,658.0,0
-8.0,650.0,0
-8.0,642.0,0
-8.0,634.0,0
-8.0,626.0,0
-8.0,618.0,0
-8.0,610.0,0
-8.0,602.0,0
-8.0,594.0,0
-8.0,586.0,0
-8.0,578.0,0
-8.0,570.0,0
-8.0,562.0,0
-8.0,554.0,0
-8.0,546.0,0
-8.0,538.0,0
-8.0,530.0,0
-8.0,522.0,0
-8.0,514.0,0
-8.0,506.0,0
-8.0,498.0,0
-8.0,490.0,0
-8.0,482.0,0
-8.0,474.0,0
-8.0,466.0,0
-8.0,458.0,0
-8.0,450.0,0
-8.0,442.0,0
-8.0,434.0,0
-8.0,426.0,0
-8.0,418.0,0
-8.0,410.0,0
-8.0,402.0,0
-8.0,394.0,0
-8.0,386.0,0
-8.0,378.0,0
-8.0,370.0,0
-8.0,362.0,0
-8.0,354.0,0
-8.0,346.0,0
-8.0,338.0,0
-8.0,330.0,0
-8.0,322.0,0
-8.0,314.0,0
-8.0,306.0,0
-8.0,298.0,0
-8.0,290.0,0
-8.0,282.0,0
-8.0,274.0,0
-8.0,266.0,0
-8.0,258.0,0
-8.0,250.0,0
-8.0,242.0,0
-8.0,234.0,0
-8.0,226.0,0
-8.0,218.0,0
-8.0,210.0,0
-8.0,202.0,0
-8.0,194.0,0
-8.0,186.0,0
-8.0,178.0,0
-8.0,170.0,0
-8.0,162.0,0
-8.0,154.0,0
-8.0,146.0,0
-8.0,138.0,0
-8.0,130.0,0
-8.0,122.0,0
-8.0,114.0,1
-8.0,106.0,1
-8.0,98.0,1
-8.0,90.0,1
-8.0,82.0,1
-8.0,74.0,1
-8.0,66.0,1
-8.0,58.0,1
-8.0,50.0,1
-8.0,42.0,1
-8.0,34.0,1
-8.0,26.0,1
-8.0,18.0,1
-8.0,10.0,1
-8.0,2.0,1
-8.0,6.0,1
-8.0,14.0,1
-8.0,22.0,1
-8.0,30.0,1
-8.0,38.0,1
-8.0,46.0,1
-8.0,54.0,1
-8.0,62.0,1
-8.0,70.0,1
-8.0,962.0,1
-8.0,954.0,1
-8.0,946.0,1
-8.0,938.0,1
-8.0,930.0,1
-8.0,922.0,1
-8.0,914.0,1
-8.0,906.0,0
